2011-05-26 08:29:46 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 08:31:31 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 08:37:20 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 09:27:17 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 11:44:49 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 18:38:53 Notice: Notice (8): Undefined variable: Route in [/home/growthde/public_html/heardthis/app/config/routes.php, line 36]
2011-05-26 20:21:46 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:47:35 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:48:18 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:49:12 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:49:13 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/home/growthde/public_html/heardthis/cake/libs/class_registry.php, line 142]
2011-05-26 20:49:13 Notice: Notice (8): Use of undefined constant VALID_NUMBER - assumed 'VALID_NUMBER' in [/home/growthde/public_html/heardthis/cake/libs/class_registry.php, line 142]
2011-05-26 20:55:43 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:55:43 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/home/growthde/public_html/heardthis/cake/libs/class_registry.php, line 142]
2011-05-26 20:55:43 Notice: Notice (8): Use of undefined constant VALID_NUMBER - assumed 'VALID_NUMBER' in [/home/growthde/public_html/heardthis/cake/libs/class_registry.php, line 142]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
2011-05-26 20:57:28 Notice: Notice (8): Undefined property: DboMysql::$virtualFieldSeparator in [/home/growthde/public_html/heardthis/cake/libs/model/datasources/dbo/dbo_mysql.php, line 755]
